tconst,numVotes,averageRating
tt0055191,391,6.2
tt0055192,424,5.6
tt0055194,275,6.7
tt0055241,164,6.1
tt0055244,77,7.7
tt0055266,194,6.7
tt0055297,155,4.6
tt0055308,645,6.5
tt0055323,287,4.2
tt0055340,93,5.8
tt0055346,26,5.2
tt0055350,102,6.4
tt0055352,385,7.0
tt0055356,360,4.7
tt0055366,108,6.1
tt0055395,83,5.7
tt0055432,320,7.1
tt0055517,50,5.8
tt0055526,1548,6.1
tt0055538,418,6.1
tt0055547,194,5.7
tt0055548,472,6.5
tt0055549,641,6.6
tt0055564,243,5.0
tt0055567,72,5.8
tt0055569,565,6.4
tt0055572,19293,7.3
tt0055585,365,6.1
tt0055590,228,5.0
tt0055599,1244,5.5
tt0055636,138,4.9
tt0055644,110,7.3
tt0055651,167,5.9
tt0055652,68,6.1
tt0055744,58,5.0
tt0055747,2466,7.2
tt0055754,142,4.5
tt0055762,164,5.2
tt0055787,98,6.0
tt0055790,102,6.1
tt0055805,5094,7.0
tt0055827,1047,7.0
tt0055832,2969,6.5
tt0055833,132,5.0
tt0055839,423,6.5
tt0055852,27699,7.8
tt0055855,113,5.4
tt0055857,97,5.2
tt0055865,350,5.8
tt0055866,154,4.7
tt0055904,983,6.7
tt0055910,4830,7.8
tt0055912,131,5.9
tt0055926,213,4.6
tt0055932,212,5.3
tt0055934,128,6.0
tt0055935,172,5.8
tt0055969,153,5.4
tt0055978,98,5.4
tt0056014,1004,6.1
tt0056040,1819,6.0
tt0056041,118,5.6
tt0056042,655,5.9
tt0056096,347,6.6
tt0056117,413,5.5
tt0056126,438,6.5
tt0056129,169,6.7
tt0056165,1242,6.4
tt0056171,2266,6.8
tt0056174,480,5.3
tt0056208,453,6.0
tt0056214,122,6.4
tt0056228,616,5.8
tt0056248,253,7.3
tt0056268,515,6.5
tt0056288,94,5.4
tt0056290,268,5.5
tt0056302,1052,7.0
tt0056303,287,6.2
tt0056312,288,6.5
tt0056345,140,6.3
tt0056346,1900,6.8
tt0056358,298,5.5
tt0056361,25,7.1
tt0056365,64,5.4
tt0056378,130,6.7
tt0056388,141,5.8
tt0056395,57,5.4
tt0056400,72,4.5
tt0056401,129,4.9
tt0056404,734,5.5
tt0056408,88,5.5
tt0056452,3664,6.8
tt0056461,85,6.8
tt0056467,676,6.3
tt0056468,658,6.8
tt0056480,1244,5.4
tt0056485,214,5.6
tt0056504,2220,5.7
tt0056514,1079,7.2
tt0056581,652,7.1
tt0056630,869,6.0
tt0056636,3344,7.4
tt0056641,88,4.6
tt0056651,361,5.9
tt0056652,66,5.7
tt0056657,795,6.9
tt0056658,430,6.0
tt0056663,35287,7.8
tt0056667,235,6.6
tt0056668,570,7.0
tt0056731,179,6.6
tt0056736,22265,7.7
tt0056801,125825,8.0
tt0056827,54,5.7
tt0056832,125,6.4
tt0056838,108,6.5
tt0056845,1777,6.5
tt0056846,4257,7.2
tt0056848,30,4.8
tt0056893,97,5.5
tt0056899,25,5.4
tt0056905,3627,6.7
tt0056906,1019,6.1
tt0056909,65,6.1
tt0056910,4279,6.8
tt0056917,2751,7.0
tt0056921,482,7.2
tt0056927,181,6.2
tt0056934,173,5.4
tt0056938,53,4.6
tt0056945,3330,8.0
tt0056950,311,4.8
tt0056951,65,6.1
tt0056954,137,4.7
tt0056955,447,7.2
tt0056957,1269,6.2
tt0056969,945,6.5
tt0056974,88,4.9
tt0056986,107,5.0
tt0056994,36,7.0
tt0057006,981,7.3
tt0057013,157,6.1
tt0057038,140,5.1
tt0057051,2628,6.7
tt0057058,10567,7.8
tt0057064,88,5.1
tt0057078,4703,6.6
tt0057091,29078,7.9
tt0057106,259,6.9
tt0057151,76,5.7
tt0057171,10223,7.2
tt0057176,1400,7.2
tt0057202,887,7.8
tt0057207,2908,7.1
